Comment,Designator,Footprint,LCSC Part #
0.1uF,C5 C6,C0805,
1k,R2 R3 R11 R14,R0603,
1uF,C7 C8 C9,C0805,
4.7k,R1,R0603,
8.2k,R15,R0603,
10k,R4 R5 R6 R7 R8 R9 R10 R12 R13,R0603,
10u,C1 C3,C0603,
20k,R16,R0603,
100n,C2,C0603,
100uF/6.2V,C4,C3216-18/T,
AMS1117-3.3,U4,SOT229P700X180-4N,
BC846,T1 T2,SOT23,
DTSM-3,BOOT EN,DTSM-3,
ESP-WROOM-32,U1,ESP-WROOM-32,
HX711,U3,SOP127P600X180-16N,
INTERFACE-CP2102-GMR(QFN28),U2,QFN28G_0.5-5X5MM,
MICRO-USB,U$1,MICRO-USB-2,
SS14,D1,DO214,
blue,BLUE,CHIPLED_0603,
red,RED,CHIPLED_0603,
8550 2ty,Q1 ,,
